,TS代码,股票代码,股票名称,行业,市场类型
367,000889.SZ,000889,中嘉博创,通信设备,主板
368,000890.SZ,000890,*ST胜尔,钢加工,主板
369,000892.SZ,000892,欢瑞世纪,影视音像,主板
370,000893.SZ,000893,亚钾国际,农药化肥,主板
371,000895.SZ,000895,双汇发展,食品,主板
372,000897.SZ,000897,津滨发展,区域地产,主板
373,000898.SZ,000898,鞍钢股份,普钢,主板
374,000899.SZ,000899,赣能股份,火力发电,主板
375,000900.SZ,000900,现代投资,路桥,主板
376,000901.SZ,000901,航天科技,汽车配件,主板
377,000902.SZ,000902,新洋丰,农药化肥,主板
378,000903.SZ,000903,云内动力,机械基件,主板
379,000905.SZ,000905,厦门港务,港口,主板
380,000906.SZ,000906,浙商中拓,批发业,主板
381,000908.SZ,000908,景峰医药,化学制药,主板
382,000909.SZ,000909,数源科技,综合类,主板
383,000910.SZ,000910,大亚圣象,家居用品,主板
384,000911.SZ,000911,南宁糖业,食品,主板
385,000912.SZ,000912,泸天化,农药化肥,主板
386,000913.SZ,000913,钱江摩托,摩托车,主板
387,000915.SZ,000915,山大华特,化学制药,主板
388,000917.SZ,000917,电广传媒,影视音像,主板
389,000918.SZ,000918,嘉凯城,全国地产,主板
390,000919.SZ,000919,金陵药业,化学制药,主板
391,000920.SZ,000920,南方汇通,环境保护,主板
392,000921.SZ,000921,海信家电,家用电器,主板
393,000922.SZ,000922,佳电股份,电气设备,主板
394,000923.SZ,000923,河钢资源,普钢,主板
395,000925.SZ,000925,众合科技,专用机械,主板
396,000926.SZ,000926,福星股份,区域地产,主板
397,000927.SZ,000927,中国铁物,仓储物流,主板
398,000928.SZ,000928,中钢国际,建筑工程,主板
399,000929.SZ,000929,兰州黄河,啤酒,主板
400,000930.SZ,000930,中粮科技,农业综合,主板
401,000931.SZ,000931,中关村,生物制药,主板
402,000932.SZ,000932,华菱钢铁,普钢,主板
403,000933.SZ,000933,神火股份,铝,主板
404,000935.SZ,000935,四川双马,水泥,主板
405,000936.SZ,000936,华西股份,化纤,主板
406,000937.SZ,000937,冀中能源,煤炭开采,主板
407,000938.SZ,000938,紫光股份,软件服务,主板
408,000948.SZ,000948,南天信息,软件服务,主板
409,000949.SZ,000949,新乡化纤,化纤,主板
410,000950.SZ,000950,重药控股,医药商业,主板
411,000951.SZ,000951,中国重汽,汽车整车,主板
412,000952.SZ,000952,广济药业,化学制药,主板
413,000953.SZ,000953,*ST河化,农药化肥,主板
414,000955.SZ,000955,欣龙控股,纺织,主板
415,000957.SZ,000957,中通客车,汽车整车,主板
416,000958.SZ,000958,东方能源,火力发电,主板
417,000959.SZ,000959,首钢股份,普钢,主板
418,000960.SZ,000960,锡业股份,小金属,主板
419,000961.SZ,000961,中南建设,建筑工程,主板
420,000962.SZ,000962,东方钽业,小金属,主板
421,000963.SZ,000963,华东医药,化学制药,主板
422,000965.SZ,000965,天保基建,区域地产,主板
423,000966.SZ,000966,长源电力,火力发电,主板
424,000967.SZ,000967,盈峰环境,环境保护,主板
425,000968.SZ,000968,蓝焰控股,煤炭开采,主板
426,000969.SZ,000969,安泰科技,钢加工,主板
427,000970.SZ,000970,中科三环,元器件,主板
428,000971.SZ,000971,*ST高升,互联网,主板
429,000972.SZ,000972,ST中基,食品,主板
430,000973.SZ,000973,佛塑科技,塑料,主板
431,000975.SZ,000975,银泰黄金,黄金,主板
432,000976.SZ,000976,华铁股份,运输设备,主板
433,000977.SZ,000977,浪潮信息,IT设备,主板
434,000978.SZ,000978,桂林旅游,旅游景点,主板
435,000980.SZ,000980,*ST众泰,汽车配件,主板
436,000981.SZ,000981,*ST银亿,汽车配件,主板
437,000982.SZ,000982,*ST中绒,纺织,主板
438,000983.SZ,000983,山西焦煤,煤炭开采,主板
439,000985.SZ,000985,大庆华科,化工原料,主板
440,000987.SZ,000987,越秀金控,多元金融,主板
441,000988.SZ,000988,华工科技,电器仪表,主板
442,000989.SZ,000989,九芝堂,中成药,主板
443,000990.SZ,000990,诚志股份,化工原料,主板
444,000993.SZ,000993,闽东电力,水力发电,主板
445,000995.SZ,000995,皇台酒业,白酒,主板
446,000996.SZ,000996,中国中期,汽车服务,主板
447,000997.SZ,000997,新大陆,软件服务,主板
448,000998.SZ,000998,隆平高科,种植业,主板
449,000999.SZ,000999,华润三九,中成药,主板
450,001696.SZ,001696,宗申动力,摩托车,主板
451,001872.SZ,001872,招商港口,港口,主板
452,001896.SZ,001896,豫能控股,火力发电,主板
453,001914.SZ,001914,招商积余,房产服务,主板
454,001965.SZ,001965,招商公路,路桥,主板
455,001979.SZ,001979,招商蛇口,全国地产,主板
456,002001.SZ,002001,新和成,化学制药,中小板
457,002002.SZ,002002,鸿达兴业,化工原料,中小板
458,002003.SZ,002003,伟星股份,服饰,中小板
459,002004.SZ,002004,华邦健康,化学制药,中小板
460,002005.SZ,002005,ST德豪,家用电器,中小板
461,002006.SZ,002006,精功科技,专用机械,中小板
462,002007.SZ,002007,华兰生物,生物制药,中小板
463,002008.SZ,002008,大族激光,电器仪表,中小板
464,002009.SZ,002009,天奇股份,工程机械,中小板
465,002010.SZ,002010,传化智联,仓储物流,中小板
466,002011.SZ,002011,盾安环境,工程机械,中小板
467,002012.SZ,002012,凯恩股份,造纸,中小板
468,002013.SZ,002013,中航机电,航空,中小板
469,002014.SZ,002014,永新股份,塑料,中小板
470,002015.SZ,002015,协鑫能科,新型电力,中小板
471,002016.SZ,002016,世荣兆业,区域地产,中小板
472,002017.SZ,002017,东信和平,通信设备,中小板
