,ts_code,name,industry,market
370,000889.SZ,中嘉博创,通信设备,主板
371,000890.SZ,*ST胜尔,钢加工,主板
372,000892.SZ,欢瑞世纪,影视音像,主板
373,000893.SZ,东凌国际,食品,主板
374,000895.SZ,双汇发展,食品,主板
375,000897.SZ,津滨发展,区域地产,主板
376,000898.SZ,鞍钢股份,普钢,主板
377,000899.SZ,赣能股份,火力发电,主板
378,000900.SZ,现代投资,路桥,主板
379,000901.SZ,航天科技,航空,主板
380,000902.SZ,新洋丰,农药化肥,主板
381,000903.SZ,云内动力,机械基件,主板
382,000905.SZ,厦门港务,港口,主板
383,000906.SZ,浙商中拓,批发业,主板
384,000908.SZ,景峰医药,化学制药,主板
385,000909.SZ,数源科技,综合类,主板
386,000910.SZ,大亚圣象,家居用品,主板
387,000911.SZ,ST南糖,食品,主板
388,000912.SZ,泸天化,农药化肥,主板
389,000913.SZ,钱江摩托,摩托车,主板
390,000915.SZ,山大华特,化学制药,主板
391,000917.SZ,电广传媒,影视音像,主板
392,000918.SZ,嘉凯城,全国地产,主板
393,000919.SZ,金陵药业,化学制药,主板
394,000920.SZ,南方汇通,环境保护,主板
395,000921.SZ,海信家电,家用电器,主板
396,000922.SZ,佳电股份,电气设备,主板
397,000923.SZ,河钢资源,普钢,主板
398,000925.SZ,众合科技,专用机械,主板
399,000926.SZ,福星股份,区域地产,主板
400,000927.SZ,*ST夏利,汽车整车,主板
401,000928.SZ,中钢国际,建筑工程,主板
402,000929.SZ,兰州黄河,啤酒,主板
403,000930.SZ,中粮科技,农业综合,主板
404,000931.SZ,中关村,生物制药,主板
405,000932.SZ,华菱钢铁,普钢,主板
406,000933.SZ,神火股份,煤炭开采,主板
407,000935.SZ,四川双马,水泥,主板
408,000936.SZ,华西股份,化纤,主板
409,000937.SZ,冀中能源,煤炭开采,主板
410,000938.SZ,紫光股份,软件服务,主板
411,000948.SZ,南天信息,软件服务,主板
412,000949.SZ,新乡化纤,化纤,主板
413,000950.SZ,重药控股,医药商业,主板
414,000951.SZ,中国重汽,汽车整车,主板
415,000952.SZ,广济药业,化学制药,主板
416,000953.SZ,*ST河化,农药化肥,主板
417,000955.SZ,欣龙控股,纺织,主板
418,000957.SZ,中通客车,汽车整车,主板
419,000958.SZ,东方能源,火力发电,主板
420,000959.SZ,首钢股份,普钢,主板
421,000960.SZ,锡业股份,小金属,主板
422,000961.SZ,中南建设,建筑工程,主板
423,000962.SZ,东方钽业,小金属,主板
424,000963.SZ,华东医药,化学制药,主板
425,000965.SZ,天保基建,区域地产,主板
426,000966.SZ,长源电力,火力发电,主板
427,000967.SZ,盈峰环境,环境保护,主板
428,000968.SZ,蓝焰控股,煤炭开采,主板
429,000969.SZ,安泰科技,钢加工,主板
